,Trump/Vance,,,Harris/Walz,,,Stein/Ware,,,Kennedy/Shanahan,,,Oliver/Maat,,,Others,,,Margin,,Margin,Total
,Republican,,,Democratic,,,Green,,,Independent,,,Libertarian,,,,,,,,swing[n],votes
State or District,Republican Votes,Republican %,Republican EV,Democratic Votes,Democratic %,Democratic EV,Green Votes,Green %,Green EV,Independent Votes,Independent %,Independent EV,Libertarian Votes,Libertarian %,Libertarian EV,Others Votes,Others%,Others EV,Margin Votes,Margin %,%,Total Votes
Alabama,"1,462,616",64.60%,9,"772,412",34.10%,–,"4,319",0.20%,–,"12,075",0.50%,–,"4,930",0.20%,–,"8,738",0.40%,–,"690,204",30.50%,,"2,265,090"
Alaska,"184,458",54.50%,3,"140,026",41.40%,–,"2,342",0.70%,–,"5,670",1.70%,–,"3,040",0.90%,–,"2,641",0.50%,–,"44,432",13.10%,,"340,981"
Arizona,"1,770,242",52.20%,11,"1,582,860",46.70%,–,"18,319",0.50%,–,–,–,–,"17,898",0.50%,–,842,0.03%,–,"187,382",5.50%,,"3,390,161"
Arkansas,"759,241",64.20%,6,"396,905",33.60%,–,"4,275",0.40%,–,"13,255",1.10%,–,"5,715",0.50%,–,"3,285",0.30%,–,"362,336",30.60%,,"1,182,676"
California,"6,081,697",38.30%,–,"9,276,179",58.50%,54,"167,814",1.10%,–,"197,645",1.20%,–,"66,662",0.40%,–,"72,539",0.50%,–,"-3,194,482",-20.20%,,"15,862,536"
Colorado,"1,377,441",43.20%,–,"1,728,159",54.20%,10,"17,344",0.50%,–,"35,623",1.10%,–,"21,439",0.70%,–,"10,867",0.30%,–,"-350,718",-11.00%,,"3,190,873"
Connecticut,"736,918",41.90%,–,"992,053",56.40%,7,"14,281",0.80%,–,"8,448",0.50%,–,"6,729",0.40%,–,581,0.04%,–,"-255,135",-14.50%,,"1,759,010"
Delaware,"214,351",41.90%,–,"289,758",56.60%,3,–,–,–,"4,636",0.90%,–,"2,038",0.40%,–,914,0.20%,–,"-75,407",-14.70%,,"511,697"
District of Columbia,"21,076",6.50%,–,"294,185",90.30%,3,–,–,–,"2,778",0.90%,–,–,–,–,"7,830",2.40%,–,"-273,109",-83.80%,,"325,869"
Florida,"6,110,125",56.10%,30,"4,683,038",43.00%,–,"43,155",0.40%,–,–,–,–,"31,972",0.30%,–,"25,462",0.20%,–,"1,427,087",13.10%,,"10,893,752"
Georgia,"2,663,117",50.70%,16,"2,548,017",48.50%,–,"18,229",0.40%,–,–,–,–,"20,684",0.40%,–,–,–,–,"115,100",2.20%,,"5,250,047"
Hawaii,"193,661",37.50%,–,"313,044",60.60%,4,"4,387",0.80%,–,–,–,–,"2,733",0.50%,–,"2,876",0.60%,–,"-119,383",-22.80%,,"516,701"
Idaho,"605,246",66.90%,4,"274,972",30.40%,–,"2,973",0.30%,–,"12,812",1.40%,–,"4,462",0.50%,–,"4,347",0.50%,–,"330,274",36.50%,,"904,812"
Illinois,"2,449,079",43.50%,–,"3,062,863",54.40%,19,"31,023",0.60%,–,"80,426",1.40%,–,"3,510",0.10%,–,"6,409",0.10%,–,"-613,784",-10.90%,,"5,633,310"
